,lng,lat,type,line,name,utm
98,2.2169712691499632,41.41197205541231,METRO,L4,EL MARESME FÒRUM,"(768272.0969134315, 245261.69849565937, 37, 'N')"
99,2.182306,41.44919,METRO,L4,TRINITAT NOVA,"(772420.4797451465, 241433.37289622234, 37, 'N')"
100,2.182477258739901,41.449294852157976,METRO,L11,TRINITAT NOVA,"(772432.1185984627, 241452.33879130223, 37, 'N')"
101,2.0724067661737378,41.35615999645653,METRO,L5,CORNELLÀ CENTRE,"(762085.4587704557, 229259.17540258163, 37, 'N')"
102,2.078906877441049,41.35771684646395,METRO,L5,GAVARRA,"(762257.6594899857, 229978.51159582252, 37, 'N')"
103,2.0839967889094053,41.36276206663678,METRO,L5,SANT ILDEFONS,"(762818.3336060063, 230542.4274462407, 37, 'N')"
104,2.0907842913516848,41.36606486634577,METRO,L5,CAN BOIXERES,"(763184.7952134241, 231293.8551042614, 37, 'N')"
105,2.0992409673513084,41.371327657861656,METRO,L5,CAN VIDALET,"(763769.1111188442, 232230.27276702237, 37, 'N')"
106,2.106777531680029,41.3735674280285,METRO,L5,PUBILLA CASES,"(764017.1216489065, 233064.39735182657, 37, 'N')"
107,2.1182995517532675,41.37580085050986,METRO,L5,COLLBLANC,"(764263.7436468679, 234339.42313299578, 37, 'N')"
108,2.127315373252934,41.375614247963625,METRO,L5,BADAL,"(764241.4429098782, 235336.7847887531, 37, 'N')"
109,2.13548286616069,41.375453895709,METRO,L5,PLAÇA DE SANTS,"(764222.2025132065, 236240.302720951, 37, 'N')"
110,2.1392963774276814,41.379708468936784,METRO,L5,SANTS ESTACIÓ,"(764695.0587450536, 236662.9140515041, 37, 'N')"
111,2.1414471870688554,41.42507592320767,METRO,L5,VALL D'HEBRON,"(769743.9046519347, 236908.76816243702, 37, 'N')"
112,2.145608274327709,41.38446375839175,METRO,L5,ENTENÇA,"(765223.2091828096, 237362.00691307796, 37, 'N')"
113,2.148523208344578,41.4219834516522,METRO,L5,EL COLL / LA TEIXONERA,"(769398.48033719, 237691.04983656856, 37, 'N')"
114,2.15098703188836,41.3890420103404,METRO,L5,HOSPITAL CLÍNIC,"(765731.8123530908, 237957.843978947, 37, 'N')"
115,2.155128243797118,41.424606089936475,METRO,L5,EL CARMEL,"(769689.2108188261, 238422.23488593736, 37, 'N')"
116,2.15916239508396,41.39489649034533,METRO,L5,DIAGONAL,"(766381.960941758, 238863.2946889413, 37, 'N')"
117,2.161180661450532,41.429771662435,METRO,L5,HORTA,"(770263.053675268, 239092.73917972515, 37, 'N')"
118,2.1667308339825,41.3987780118665,METRO,L5,VERDAGUER,"(766812.6281073741, 239701.2643471929, 37, 'N')"
119,2.1677626503068628,41.430833117745024,METRO,L5,VILAPICINA,"(770380.0227835383, 239821.10399947554, 37, 'N')"
120,2.1738795470891668,41.40412620833251,METRO,L5,SAGRADA FAMÍLIA,"(767406.5931500439, 240493.06587784225, 37, 'N')"
121,2.1748775943420657,41.42974107538966,METRO,L5,VIRREI AMAT,"(770257.216984944, 240608.0456990854, 37, 'N')"
122,2.176327038602659,41.41103033525497,METRO,L5,SANT PAU DOS DE MAIG,"(768174.5485863965, 240765.05724181046, 37, 'N')"
123,2.1764771285849602,41.42587827513346,METRO,L5,MARAGALL,"(769827.0196008421, 240784.31230351166, 37, 'N')"
124,2.1809410869841765,41.415008841253716,METRO,L5,CAMP DE L'ARPA,"(768616.5152180882, 241276.21931379085, 37, 'N')"
125,2.1816117427727684,41.42353719791464,METRO,L5,CONGRÉS,"(769565.5546763916, 241351.9407189195, 37, 'N')"
126,2.1868993989719283,41.42156549000137,METRO,L5,LA SAGRERA,"(769345.1711717371, 241936.56509552634, 37, 'N')"
154,2.198552832214578,41.45726270429347,METRO,L9,CAN ZAM,"(773316.000854044, 243232.28723173382, 37, 'N')"
